id_pelanggan,nama_pelanggan,alamat,kota,provinsi,kode_pos,nomor_telepon,email,tanggal_registrasi,status_pelanggan
2089,Keisha Simanjuntak,Gg. Soekarno Hatta No. 58,Gg. W.R. Supratman No. 928,"Banda Aceh, Riau 02019",50126,+62 (0040) 435 4401,anggriawankartika@example.org,2022-08-19,Aktif
2090,"drg. Ratna Pradipta, S.I.Kom",Gang Medokan Ayu No. 37,Gg. Surapati No. 50,"Bogor, KB 85843",50963,+62 (0092) 439-3305,harjasaharyanto@example.net,2021-10-26,Tidak Aktif
2091,Usyi Siregar,Gg. Pacuan Kuda No. 62,Jalan Cihampelas No. 662,"Singkawang, MA 45366",59525,+62 (85) 806-0178,yogahutagalung@example.net,2021-06-13,Tidak Aktif
2092,"Janet Prabowo, M.Ak",Jalan Suryakencana No. 1,Jl. Ahmad Yani No. 005,"Yogyakarta, Sumatera Utara 62931",82360,+62-059-659-2014,gangsariyanti@example.org,2021-12-13,Tidak Aktif
2093,Faizah Mansur,Jl. W.R. Supratman No. 246,Jl. Sukajadi No. 431,"Subulussalam, Papua 21344",87048,(044) 769-2230,pardisinaga@example.org,2021-11-24,Aktif
2094,Hardi Laksmiwati,Gang W.R. Supratman No. 729,Jl. Pasteur No. 4,"Lhokseumawe, Sulawesi Utara 69363",88753,0879826648,argono99@example.net,2022-01-14,Tidak Aktif
2095,R.A. Jelita Nashiruddin,Jl. M.H Thamrin No. 2,Jl. Surapati No. 61,"Padang, Lampung 73280",23296,+62 (085) 414-1780,daruna92@example.com,2021-10-25,Aktif
2096,Lembah Uwais,Jalan W.R. Supratman No. 4,Gg. Kiaracondong No. 372,"Depok, SR 37555",93292,+62-09-718-2597,aryanisabrina@example.net,2022-03-12,Tidak Aktif
2097,Eluh Hardiansyah,Jl. Cempaka No. 531,Gang HOS. Cokroaminoto No. 7,"Ternate, Sulawesi Selatan 06942",01179,(038) 163-0427,adriansyahgamblang@example.org,2021-06-14,Aktif
2098,Dalima Wibisono,Gang Soekarno Hatta No. 5,Gg. K.H. Wahid Hasyim No. 80,"Meulaboh, ST 03250",82029,+62 (077) 607 1231,ibranirahmawati@example.org,2022-07-21,Tidak Aktif
2099,Bagas Maulana,Gang H.J Maemunah No. 22,Jl. Soekarno Hatta No. 6,"Meulaboh, SU 20071",63118,+62 (0937) 448 2573,balamantrihastuti@example.org,2022-11-18,Aktif
2100,Citra Nashiruddin,Jl. Kiaracondong No. 2,Jalan Gedebage Selatan No. 1,"Tual, Kalimantan Barat 20501",81266,+62-748-758-3921,ciaobella54@example.net,2023-03-31,Tidak Aktif
2101,"Viman Wacana, S.Gz",Gg. Pelajar Pejuang No. 166,Jalan Gegerkalong Hilir No. 549,"Sabang, Bengkulu 77142",87140,+62 (34) 055-5309,tsaputra@example.org,2021-06-05,Aktif
2102,Wage Waskita,Gg. Rajiman No. 967,Gg. Dipatiukur No. 0,"Mataram, Papua 67700",21435,+62 (0404) 746-5258,pangestumala@example.com,2024-04-27,Tidak Aktif
2103,Elisa Rajasa,Gang Sentot Alibasa No. 186,Jl. Peta No. 4,"Malang, LA 89832",80031,+62 (675) 721 1549,qsamosir@example.com,2023-05-08,Aktif
2104,Hj. Azalea Ardianto,Jl. K.H. Wahid Hasyim No. 2,Jl. Kutisari Selatan No. 71,"Palangkaraya, Banten 93842",57659,+62 (035) 856 3251,harjasa35@example.com,2021-09-26,Aktif
2105,"dr. Cinthia Purnawati, S.Farm",Gg. Tubagus Ismail No. 58,Jl. Pacuan Kuda No. 377,"Metro, NB 84936",36521,(0535) 269-9455,vino71@example.net,2022-11-14,Tidak Aktif
2106,"Prasetya Uwais, M.TI.",Jalan Lembong No. 69,Gang HOS. Cokroaminoto No. 829,"Surakarta, PB 81436",14950,+62 (0762) 284-7573,kardi30@example.net,2021-12-12,Tidak Aktif
2107,Lala Wasita,Gang PHH. Mustofa No. 0,Gg. Merdeka No. 892,"Kota Administrasi Jakarta Selatan, KU 99485",93676,+62-030-976-1865,bnashiruddin@example.net,2022-01-23,Tidak Aktif
2108,"Puti Chelsea Rajasa, S.Psi",Jalan Gegerkalong Hilir No. 38,Jl. Pelajar Pejuang No. 413,"Tasikmalaya, NB 20823",45672,+62-522-392-4011,prasetyakenzie@example.net,2021-12-01,Tidak Aktif
2109,Baktiono Santoso,Jalan Dipenogoro No. 041,Gg. Jakarta No. 47,"Kota Administrasi Jakarta Utara, Kalimantan Utara 63786",66299,0853863325,setiawanprakosa@example.org,2022-06-16,Tidak Aktif
2110,Michelle Winarsih,Jl. Joyoboyo No. 96,Gang Moch. Ramdan No. 961,"Kota Administrasi Jakarta Pusat, Sumatera Utara 51448",25188,(0999) 068-4797,nugrohokenzie@example.org,2022-12-09,Tidak Aktif
2111,Dartono Wastuti,Jl. Jend. Sudirman No. 87,Gg. Sentot Alibasa No. 69,"Singkawang, Jawa Barat 49758",95361,+62-044-677-6627,pertiwimartaka@example.org,2022-08-05,Aktif
2112,Asmianto Prasetya,Jl. Tubagus Ismail No. 1,Jl. Jakarta No. 2,"Padang, Sulawesi Utara 75552",16242,0880873794,prakasaomar@example.org,2023-10-28,Tidak Aktif
2113,"Lili Oktaviani, S.Kom",Gang Kapten Muslihat No. 432,Jalan Antapani Lama No. 472,"Tangerang Selatan, SN 62226",92810,+62 (004) 148-9281,haryani@example.net,2023-10-14,Aktif
2114,Dr. Uli Aryani,Gang Peta No. 240,Gg. Siliwangi No. 394,"Blitar, Kalimantan Tengah 49942",24296,+62-76-496-5824,hardana95@example.org,2022-10-02,Tidak Aktif
2115,Lamar Nuraini,Jl. Bangka Raya No. 252,Gang Rumah Sakit No. 8,"Cimahi, LA 48017",81871,+62 (0516) 231-0526,nasyiahimam@example.com,2023-11-03,Tidak Aktif
2116,drg. Reksa Suwarno,Jl. Soekarno Hatta No. 85,Gang Rungkut Industri No. 6,"Binjai, Sulawesi Tenggara 38254",23105,+62 (0922) 395-4612,chalim@example.net,2022-07-19,Aktif
2117,Karja Wijayanti,Gang W.R. Supratman No. 87,Gg. Cikapayang No. 37,"Manado, JT 08093",33545,(0293) 938 7570,harto07@example.com,2021-08-04,Tidak Aktif
2118,Dr. Maman Kurniawan,Jalan Suryakencana No. 1,Jalan Jend. Sudirman No. 771,"Kendari, Maluku 44462",06983,+62 (0128) 651-3411,hidayantotomi@example.net,2024-03-09,Aktif
2119,"dr. Yuni Winarno, S.E.",Jl. Gegerkalong Hilir No. 23,Gang Gedebage Selatan No. 47,"Solok, YO 79563",68055,+62-14-023-9960,prabowogandi@example.org,2023-10-13,Aktif
2120,Damu Uwais,Gang Rungkut Industri No. 957,Gang Sukajadi No. 3,"Surabaya, Gorontalo 46074",75739,+62 (0837) 180-1659,daliono65@example.com,2022-03-02,Tidak Aktif
2121,"dr. Zulfa Hutapea, S.IP",Gang Cihampelas No. 68,Gg. Erlangga No. 030,"Batam, Maluku Utara 84716",04331,+62 (804) 445 7737,wulandarigara@example.org,2023-05-14,Tidak Aktif
2122,Tgk. Laras Situmorang,Jl. Rajawali Barat No. 8,Gang Ahmad Yani No. 480,"Denpasar, RI 02736",37142,+62-272-330-6884,radenpradana@example.com,2022-02-26,Tidak Aktif
2123,"Cut Febi Agustina, S.Kom",Gang Pasir Koja No. 52,Gang Sentot Alibasa No. 8,"Pekanbaru, Jambi 34567",80041,+62 (92) 905-6185,jindrapratama@example.org,2024-04-13,Tidak Aktif
2124,"Ajimat Nugroho, M.Ak",Gg. Jend. A. Yani No. 141,Gg. Kutai No. 17,"Dumai, KU 42237",42045,+62 (0856) 069 6776,ajimin74@example.net,2022-09-29,Aktif
2125,R. Salman Napitupulu,Jalan R.E Martadinata No. 53,Gang Rungkut Industri No. 733,"Magelang, Jawa Barat 43078",88226,+62 (331) 738-0196,dabukkelimar@example.com,2021-07-31,Tidak Aktif
2126,Dt. Erik Halimah,Gg. Cihampelas No. 4,Gang Merdeka No. 571,"Mojokerto, Jawa Tengah 89450",35637,+62 (464) 579 9834,cahyosalahudin@example.com,2022-03-25,Aktif
2127,"R. Eluh Hastuti, S.Pd",Gang M.T Haryono No. 70,Jalan Joyoboyo No. 38,"Pontianak, RI 88702",92605,+62 (063) 069 7797,murti73@example.org,2023-08-01,Tidak Aktif
2128,Ozy Utama,Gg. Jayawijaya No. 85,Jl. Sukabumi No. 04,"Banjarmasin, SG 17149",84841,+62 (939) 682 1462,kayla09@example.com,2023-11-14,Aktif
2129,"Mustofa Sihombing, S.Farm",Jl. Merdeka No. 9,Jl. Jakarta No. 39,"Bitung, JK 12967",78308,+62 (070) 028-0747,psaefullah@example.com,2021-07-12,Aktif
2130,Yulia Mangunsong,Gg. Raya Ujungberung No. 8,Jl. W.R. Supratman No. 45,"Kota Administrasi Jakarta Utara, Nusa Tenggara Timur 40264",97316,+62-569-564-4123,zulfa74@example.org,2023-04-22,Tidak Aktif
2131,Suci Rahmawati,Gg. Cikapayang No. 86,Jalan Pelajar Pejuang No. 787,"Dumai, Maluku 72666",23215,+62 (0782) 285 4814,sudiatireza@example.com,2023-01-03,Aktif
2132,Daliono Hidayat,Jalan K.H. Wahid Hasyim No. 3,Gang Raya Ujungberung No. 30,"Tarakan, ST 32668",01299,+62-350-684-5173,latuponokarna@example.com,2023-09-22,Tidak Aktif
2133,Mahdi Hakim,Gang Pelajar Pejuang No. 244,Jalan Moch. Ramdan No. 992,"Payakumbuh, Kalimantan Tengah 73911",28174,+62 (043) 964-6375,ulyaaryani@example.com,2022-10-18,Tidak Aktif
2134,"R.A. Ulya Santoso, M.TI.",Gang Sentot Alibasa No. 61,Jalan HOS. Cokroaminoto No. 44,"Kota Administrasi Jakarta Selatan, SU 89273",72191,+62 (739) 031-6397,dimashardiansyah@example.org,2023-10-06,Aktif
2135,Hasta Jailani,Gg. Ahmad Yani No. 792,Gg. Jayawijaya No. 351,"Kota Administrasi Jakarta Barat, DI Yogyakarta 64419",59286,+62 (084) 969 0907,danukuswandari@example.org,2021-12-12,Aktif
2136,Dono Rahimah,Jl. Kendalsari No. 071,Gg. Gegerkalong Hilir No. 837,"Blitar, Kalimantan Barat 93264",95548,+62-31-648-8201,carubprasetya@example.org,2021-08-13,Aktif
2137,"Rina Habibi, S.I.Kom",Gang Rungkut Industri No. 629,Gg. S. Parman No. 212,"Palembang, Sulawesi Barat 76950",49791,+62 (809) 935 9438,pmulyani@example.org,2022-07-07,Tidak Aktif
